,Div,Date,HR,AR,FTHG,HTAG,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
0,E0,19/08/00,0,0,4,0,Charlton,Man City,H,14,4,6,6,0.38665082622313424,0.5206200643463001,1.114360924246856,0.8381034668970732,1
1,E0,19/08/00,0,0,4,0,Chelsea,West Ham,H,10,5,7,7,1.404039313100767,0.6931851418543434,0.7019596373208541,0.876984555567556,1
2,E0,19/08/00,1,0,1,1,Coventry,Middlesbrough,A,3,9,8,4,0.030240846743708822,0.06727113190991518,0.4124012869260018,0.47089318500918026,-1
3,E0,19/08/00,0,0,2,2,Derby,Southampton,D,4,6,5,8,0.11880332649314182,0.27200935946183097,0.5001462415911085,0.5400151204233719,0
4,E0,19/08/00,0,0,2,0,Leeds,Everton,H,8,6,6,4,0.252727076358138,0.2895583503948523,0.9564200058496637,0.8964250999027973,1
5,E0,19/08/00,0,0,0,0,Leicester,Aston Villa,D,4,3,5,4,0.2700075602116859,0.3656039777712782,0.9973676513600468,1.0821903013284373,0
6,E0,19/08/00,0,0,1,0,Liverpool,Bradford,H,10,2,6,1,1.2333945350469815,0.6902603100321731,0.029248318221702253,0.08856247974943299,1
7,E0,19/08/00,0,1,1,0,Sunderland,Arsenal,H,2,7,2,9,0.5875364510206286,0.8832992102954081,1.4711904065516235,0.7387406847391728,1
8,E0,19/08/00,0,0,3,1,Tottenham,Ipswich,H,6,5,3,4,1.1405119343341614,0.959344837671834,0.1374670956420006,0.14472405227346366,1
9,E0,20/08/00,0,0,2,0,Man United,Newcastle,H,9,6,7,1,1.4407603412895562,0.6288388417665984,0.8745247148288974,1.0433092126579546,1
10,E0,21/08/00,1,2,2,0,Arsenal,Liverpool,H,12,4,10,11,1.429960038881089,0.739982451009067,1.3073998245100908,0.797062317744897,1
11,E0,22/08/00,0,0,2,0,Bradford,Chelsea,H,3,6,6,4,0.043201209633869746,0.08482012284293654,1.389295115530857,0.6199373582460309,1
12,E0,22/08/00,0,0,1,1,Ipswich,Man United,D,8,6,4,6,0.11016308456636786,0.1140684410646388,1.4975138929511553,0.6890592936602226,0
13,E0,22/08/00,0,0,1,1,Middlesbrough,Tottenham,D,6,4,5,5,0.4276919753753105,0.5498683825680024,1.0821877742029833,0.9720272167620695,0
14,E0,23/08/00,0,1,3,0,Everton,Charlton,H,8,4,3,5,1.0389890916945674,0.9534951740274935,0.3568294823047675,0.44929258019224544,1
15,E0,23/08/00,0,0,4,0,Man City,Sunderland,H,10,4,7,3,1.1491521762609354,0.8072535829189823,0.6405381690552794,0.9158656442380386,1
16,E0,23/08/00,1,0,3,1,Newcastle,Derby,H,4,5,9,6,0.939626309536667,0.9944428195378767,0.10236911377595789,0.2548871368398315,1
17,E0,23/08/00,0,0,1,1,Southampton,Coventry,A,4,5,6,5,0.5680959066853872,0.5527932143901726,0.06434630008774496,0.08640241926773949,-1
18,E0,23/08/00,1,0,0,0,West Ham,Leicester,A,12,2,11,5,0.7560211685927207,0.8979233694062593,0.3100321731500439,0.31536883032724916,-1
19,E0,26/08/00,0,0,5,2,Arsenal,Charlton,H,9,4,8,3,1.429960038881089,0.739982451009067,0.3568294823047675,0.44929258019224544,1
20,E0,26/08/00,0,0,0,0,Bradford,Leicester,D,4,8,6,8,0.043201209633869746,0.08482012284293654,0.3100321731500439,0.31536883032724916,0
21,E0,26/08/00,0,0,2,0,Everton,Derby,D,9,4,11,2,1.0389890916945674,0.9534951740274935,0.10236911377595789,0.2548871368398315,0
22,E0,26/08/00,0,0,1,0,Ipswich,Sunderland,H,5,3,7,6,0.11016308456636786,0.1140684410646388,0.6405381690552794,0.9158656442380386,1
23,E0,26/08/00,0,0,1,2,Man City,Coventry,A,5,8,5,5,1.1491521762609354,0.8072535829189823,0.06434630008774496,0.08640241926773949,-1
24,E0,26/08/00,0,0,1,2,Middlesbrough,Leeds,A,8,11,4,8,0.4276919753753105,0.5498683825680024,0.2866335185726821,0.252727076358138,-1
25,E0,26/08/00,0,0,2,0,Newcastle,Tottenham,H,6,2,4,2,0.939626309536667,0.9944428195378767,1.0821877742029833,0.9720272167620695,1
26,E0,26/08/00,0,0,3,1,Southampton,Liverpool,D,7,4,7,1,0.5680959066853872,0.5527932143901726,1.3073998245100908,0.797062317744897,0
27,E0,26/08/00,0,0,2,1,West Ham,Man United,D,8,5,7,5,0.7560211685927207,0.8979233694062593,1.4975138929511553,0.6890592936602226,0
28,E0,27/08/00,0,0,1,1,Aston Villa,Chelsea,D,9,7,7,10,0.8143428015984447,0.9973676513600468,1.389295115530857,0.6199373582460309,0
29,E0,05/09/00,0,0,1,2,Leeds,Man City,A,1,3,9,4,0.252727076358138,0.2895583503948523,1.114360924246856,0.8381034668970732,-1
30,E0,05/09/00,0,0,6,0,Man United,Bradford,H,12,4,5,1,1.4407603412895562,0.6288388417665984,0.029248318221702253,0.08856247974943299,1
31,E0,05/09/00,0,0,1,1,Sunderland,West Ham,D,7,9,4,11,0.5875364510206286,0.8832992102954081,0.7019596373208541,0.876984555567556,0
32,E0,05/09/00,0,0,3,2,Tottenham,Everton,H,7,6,7,5,1.1405119343341614,0.959344837671834,0.9564200058496637,0.8964250999027973,1
33,E0,06/09/00,1,0,1,0,Charlton,Southampton,D,6,3,10,14,0.38665082622313424,0.5206200643463001,0.5001462415911085,0.5400151204233719,0
34,E0,06/09/00,0,0,2,0,Chelsea,Arsenal,D,5,5,7,6,1.404039313100767,0.6931851418543434,1.4711904065516235,0.7387406847391728,0
35,E0,06/09/00,0,0,0,1,Coventry,Newcastle,A,3,6,6,8,0.030240846743708822,0.06727113190991518,0.8745247148288974,1.0433092126579546,-1
36,E0,06/09/00,0,0,3,1,Derby,Middlesbrough,D,5,4,11,5,0.11880332649314182,0.27200935946183097,0.4124012869260018,0.47089318500918026,0
