HH,Div,Date,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result,match_api_id,home_team_buildUpPlaySpeed,home_team_buildUpPlayPassing,home_team_chanceCreationPassing,home_team_chanceCreationCrossing,home_team_chanceCreationShooting,home_team_defencePressure,home_team_defenceAggression,home_team_defenceTeamWidth,home_team_avg_shots,home_team_avg_corners,home_team_avg_crosses,away_team_buildUpPlaySpeed,away_team_buildUpPlayPassing,away_team_chanceCreationPassing,away_team_chanceCreationCrossing,away_team_chanceCreationShooting,away_team_defencePressure,away_team_defenceAggression,away_team_defenceTeamWidth,away_team_avg_shots,away_team_avg_corners,away_team_avg_crosses,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,B365H,B365D,B365A,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_19694.0,League_21518.0,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,outcome,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,home_team_long_name,home_team_short_name,away_team_long_name,away_team_short_name
3045,E0,8/16/2008 0:00,Sunderland,Liverpool,A,3,8,1,8,0.5875364510206286,0.8832992102954081,1.3073998245100908,0.797062318,-1,489044,60,70,70,70,55,35,70,35,10.24342105263158,10.591836734693878,19.44407894736842,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,19.44407894736842,0,0,0,0,0,0,5.5,3.6,1.67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,80,71,61,66,79,78,75,74,81,68,84,74,88,79,60,84,89,70,80,84,87,Defeat,1729,1729,2008/2009,1,8/16/2008 0:00,8472,8650,Sunderland,SUN,Liverpool,LIV
3048,E0,8/17/2008 0:00,Chelsea,Portsmouth,H,11,8,8,3,1.404039313100767,0.6931851418543434,0.3158818367943843,0.4773733664542607,1,489051,70,60,56,70,70,30,60,35,15.513157894736842,15.61589404,17.16,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,17.16,0,0,0,0,0,0,1.33,5,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,89,77,86,90,78,85,83,84,85,86,84,81,75,81,79,74,77,73,73,79,84,76,Win,1729,1729,2008/2009,1,8/17/2008 0:00,8455,8462,Chelsea,CHE,Portsmouth,POR
3051,E0,8/23/2008 0:00,Fulham,Arsenal,H,2,6,1,5,0.7538611081110271,0.8745247148288974,1.4711904065516237,0.7387406847391728,1,489057,60,70,70,70,50,40,35,40,11.057017543859647,11.154867256637168,21.082236842105264,66,30,30,45,35,30,40,50,13.93092105263158,14.163879598662207,21.082236842105264,-1,1,0,1,0,0,6.5,3.75,1.57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,67,71,77,61,78,80,72,77,76,75,75,76,86,85,77,72,79,75,85,87,86,Win,1729,1729,2008/2009,2,8/23/2008 0:00,9879,9825,Fulham,FUL,Arsenal,ARS
3052,E0,8/23/2008 0:00,Liverpool,Middlesbrough,H,8,4,14,3,1.2333945350469817,0.6902603100321731,0.4124012869260018,0.4708931850091802,1,489052,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,17.157894736842106,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,17.157894736842106,1,1,1,1,0,0,1.36,4.5,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,74,88,71,60,84,89,84,80,84,87,61,63,80,70,66,77,75,67,82,84,77,Win,1729,1729,2008/2009,2,8/23/2008 0:00,8650,8549,Liverpool,LIV,Middlesbrough,MID
3062,E0,8/30/2008 0:00,Everton,Portsmouth,A,7,5,4,3,1.0389890916945674,0.9534951740274936,0.3158818367943843,0.4773733664542607,-1,489067,60,65,60,70,45,40,70,40,12.289473684210526,12.370860927152318,17.16,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,17.16,0,-5,1,0,0,0,2.1,3.3,3.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,78,80,79,77,82,72,73,73,75,81,81,79,81,73,75,77,79,73,63,84,76,Defeat,1729,1729,2008/2009,3,8/30/2008 0:00,8668,8462,Everton,EVE,Portsmouth,POR
3066,E0,8/31/2008 0:00,Aston Villa,Liverpool,D,2,3,5,8,0.8143428015984447,0.9973676513600468,1.3073998245100908,0.797062318,0,489066,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,19.44407894736842,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,19.44407894736842,-1,2,0,2,0,0,3,3.25,2.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,74,79,76,75,77,77,84,83,81,81,84,77,85,80,78,80,82,85,76,83,88,Draw,1729,1729,2008/2009,3,8/31/2008 0:00,10252,8650,Aston Villa,AVL,Liverpool,LIV
3074,E0,9/13/2008 0:00,Portsmouth,Middlesbrough,H,12,3,3,2,0.3974511286316017,0.4650482597250658,0.4124012869260018,0.4708931850091802,1,489079,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,17.157894736842106,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,17.157894736842106,-2,1,1,2,0,0,2,3.5,3.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,78,78,74,77,75,73,81,69,81,76,70,71,71,77,72,73,72,74,81,83,75,Win,1729,1729,2008/2009,4,9/13/2008 0:00,8462,8549,Portsmouth,POR,Middlesbrough,MID
3082,E0,9/20/2008 0:00,Sunderland,Middlesbrough,H,11,11,8,7,0.5875364510206286,0.8832992102954081,0.4124012869260018,0.4708931850091802,1,489083,60,70,70,70,55,35,70,35,10.24342105263158,10.591836734693878,17.157894736842106,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,17.157894736842106,0,0,1,2,0,0,2.38,3.1,3.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,81,76,72,76,71,75,72,73,76,78,78,70,77,77,72,69,73,72,74,81,68,83,Win,1729,1729,2008/2009,5,9/20/2008 0:00,8472,8549,Sunderland,SUN,Middlesbrough,MID
3090,E0,9/27/2008 0:00,Aston Villa,Sunderland,H,8,3,5,5,0.8143428015984447,0.9973676513600468,0.6405381690552794,0.9158656442380386,1,489094,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,16.61513157894737,60,70,70,70,55,35,70,35,10.24342105263158,10.591836734693878,16.61513157894737,1,2,2,2,0,0,1.57,3.75,6.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,74,76,79,75,77,77,84,83,81,81,81,76,76,71,71,75,72,76,72,78,78,Win,1729,1729,2008/2009,6,9/27/2008 0:00,10252,8472,Aston Villa,AVL,Sunderland,SUN
3091,E0,9/27/2008 0:00,Everton,Liverpool,A,2,6,7,4,1.0389890916945674,0.9534951740274936,1.3073998245100908,0.797062318,-1,489095,60,65,60,70,45,40,70,40,12.289473684210526,12.370860927152318,19.44407894736842,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,19.44407894736842,-2,3,2,3,0,0,3.75,3.25,2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,82,74,80,78,82,82,76,75,75,80,84,84,77,85,80,78,80,82,88,79,88,83,Defeat,1729,1729,2008/2009,6,9/27/2008 0:00,8668,8650,Everton,EVE,Liverpool,LIV
